row	A	B	C	D	E	F	G	H
3					Assessment Year 2026-27
4			S.NO	Schedule Name	Schedules for filing Income Tax Return	Description
Click on applicable links to navigate to the respective sheet / schedule.	Select Applicable sheets  below by choosing Y/N and click on apply	Select Sheets to print and click on apply
5			1	PART A - General	Personal Info., Filing Status, Audit Info	Details of Personal Information and filing status	Y	Y
6			2	Nature Of Business	Nature Of Business	Nature of business or profession, if more than one tradenames please specify upto 3 tradenames 	Y	Y
7			3	Part A - BS	Part A-BS	BALANCE SHEET AS ON 31ST DAY OF MARCH, 2026(fill items 1 to 5 in a case where regular books of accounts are maintained, otherwise fill item 6)	Y	Y
8			4	Manufacturing Account	Schedule Manufacturing Account	Manufacturing Account  for the financial year   2025-26 (fill items 1 to 3 in a case where regular books of accounts are maintained, otherwise fill items 61 to 64 as applicable)	Y	Y
9			5	Trading Account	Schedule Trading Account	Part A-Trading Account -Trading Account  for the financial year 2025-26(fill items 4 to 12 in a case where regular books of accounts are maintained, otherwise fill items 61 to 64 as applicable)	Y	Y
10			6	Profit and Loss	Part A-P & L	Profit and Loss Account for the previous year 2025-26(fill items 1 to 52 in a case where regular books of accounts are maintained, otherwise fill item 53)	Y	Y
11			7	Part A - OI	Part A -OI	Other Information (optional in a case not liable for audit under section 44AB)	Y	Y
12			8	Quantitative Details	Part A-QD	Quantitative details (optional in a case not liable for audit under section 44AB)	Y	Y
13			9	Schedule S	Schedule S	Details of Salary	Y	Y
14			10	House Property	Schedule HP	Details of Income from House Property	Y	Y
15			11	BP	Schedule BP	Computation of income from business or profession	Y	Y
16			12	DPM - DOA	Schedule DPM, Schedule DOA	Depreciation on Plant and Machinery , Depreciation on other assets 	Y	Y
17			13	DEP_DCG	Schedule DEP, Schedule DCG	Summary of depreciation on assets, Deemed Capital Gains on sale of depreciable assets	Y	Y
18			14	ESR	Schedule ESR	Deduction under section 35	Y	Y
19			15	CG	Schedule CG	Capital Gains	Y	Y
20			16	Schedule 112A	Schedule 112A	112A	Y	Y
