row	A	B	C	D	E	F	G
3			Schedule ESR		Expenditure on Scientific Research etc. ( Deduction under section 35 or 35CCC or 35CCD)
4			Sl No	Expenditure of the nature referred to in section (1)	Amount, if any, debited to profit and loss account (2)	Amount of deduction allowable (3)	Amount of deduction in excess of the amount debited to profit and loss account (4) = (3) - (2)
5			i	35(1)(i)			0
6			ii	35(1)(ii)			0
7			iii	35(1)(iia)			0
8			iv	35(1)(iii)			0
9			v	35(1)(iv)			0
10			vi	35(2AA)			0
11			vii	35(2AB)			0
12			viii	35CCC			0
13			ix	35CCD			0
14			x	Total	0	0	0
16			Note:	In case any deduction is claimed under sections 35(1)(ii) or 35(1)(iia) or 35(1)(iii) or 35(2AA), please provide the details as per Schedule RA. 
