row	A	B	C	D	E	F	G	H	I	J	K	L
3			Schedule ICDS		Effect of Income Computation Disclosure Standards on profit
4			Sl. No.	ICDS		Increase in Profit (+)	Decrease in Profit(-)	Net Effect 				FALSE
5			(I)	(II)		(III)	(IV)	(V)
6			I	Accounting Policies				0
7			II	Valuation of Inventories  (other than the effect of change in method of valuation u/s 145A, if the same is separately reported at col. 4d or 4e of Part A-OI)				0
8			III	Construction Contracts				0
9			IV	Revenue Recognition				0
10			V	Tangible Fixed Assets				0
11			VI	Changes in Foreign Exchange Rates				0
12			VII	Government Grants				0
13			VIII	Securities(other than the effect of change in method of valuation u/s 145A, if the same is separately reported at col. 4d or 4e of Part A-OI)				0
14			IX	Borrowing Costs				0
15			X	Provisions, Contingent Liabilities and Contingent Assets				0
16			XI	Total effect of ICDS adjustments on profit  (I+II+III+IV+V+VI+VII+VIII+IX+X)		0	0	0
17			Xi(b)	Total effect of ICDS adjustments on profit  (I+II+III+IV+V+VI+VII+VIII+IX+X) (if negative)		0
